tmdbId,guideBoxId,title,year,genre,rating,director,actors,poster,backdrop,trailer,plot,rec1,rec2,rec3,created_at
11,55413,"Star Wars: Episode IV - A New Hope",1977,"Action, Adventure, Fantasy",PG,"George Lucas","Mark Hamill, Harrison Ford, Carrie Fisher, Peter Cushing",https://image.tmdb.org/t/p/w500/tvSlBzAdRE29bZe5yYWrJ2ds137.jpg,https://image.tmdb.org/t/p/original/4iJfYYoQzZcONB9hNzg0J0wWyPH.jpg,https://www.youtube.com/embed/vZ734NWnAHA?rel=0&autoplay=1,"Luke Skywalker joins forces with a Jedi Knight, a cocky pilot, a wookiee and two droids to save the galaxy from the Empire's world-destroying battle-station, while also attempting to rescue Princess Leia from the evil Darth Vader.","The Empire Strikes Back, 1891, https://image.tmdb.org/t/p/w500/6u1fYtxG5eqjhtCPDx04pJphQRW.jpg","Return of the Jedi, 1892, https://image.tmdb.org/t/p/w500/jx5p0aHlbPXqe3AH9G15NvmWaqQ.jpg","Star Wars: Episode I - The Phantom Menace, 1893, https://image.tmdb.org/t/p/w500/n8V09dDc02KsSN6Q4hC2BX6hN8X.jpg","2017-05-15 11:10:06"
129,13996,"Spirited Away",2001,"Animation, Adventure, Family",PG,"Hayao Miyazaki","Rumi Hiiragi, Miyu Irino, Mari Natsuki, Takashi Naitô",https://image.tmdb.org/t/p/w500/ynXoOxmDHNQ4UAy0oU6avW71HVW.jpg,https://image.tmdb.org/t/p/original/mnpRKVSXBX6jb56nabvmGKA0Wig.jpg,https://www.youtube.com/embed/0lzccY1-PNs?rel=0&autoplay=1,"During her family's move to the suburbs, a sullen 10-year-old girl wanders into a world ruled by gods, witches, and spirits, and where humans are changed into beasts.","Howl's Moving Castle, 4935, https://image.tmdb.org/t/p/w500/iMarB2ior30OAXjPa7QIdeyUfM1.jpg","Princess Mononoke, 128, https://image.tmdb.org/t/p/w500/gzlJkVfWV5VEG5xK25cvFGJgkDz.jpg","My Neighbor Totoro, 8392, https://image.tmdb.org/t/p/w500/2i0OOjvi7CqNQA6ZtYJtL65P9oZ.jpg","2017-05-15 11:10:06"
238,37865,"The Godfather",1972,"Crime, Drama",R,"Francis Ford Coppola","Marlon Brando, Al Pacino, James Caan, Richard S. Castellano",https://image.tmdb.org/t/p/w500/rPdtLWNsZmAtoZl9PK7S2wE3qiS.jpg,https://image.tmdb.org/t/p/original/6xKCYgH16UuwEGAyroLU6p8HLIn.jpg,"Sorry, No trailer is currently available","The aging patriarch of an organized crime dynasty transfers control of his clandestine empire to his reluctant son.","The Godfather: Part II, 240, https://image.tmdb.org/t/p/w500/bVq65huQ8vHDd1a4Z37QtuyEvpA.jpg","The Godfather: Part III, 242, https://image.tmdb.org/t/p/w500/1hdm3Axw9LjITbApvAXBbqO58zE.jpg","GoodFellas, 769, https://image.tmdb.org/t/p/w500/hAPeXBdGDGmXRPj4OZZ0poH65Iu.jpg","2017-05-15 11:10:06"
274,76254,"The Silence of the Lambs",1991,"Crime, Drama, Thriller",R,"Jonathan Demme","Jodie Foster, Lawrence A. Bonney, Kasi Lemmons, Lawrence T. Wrentz",https://image.tmdb.org/t/p/w500/qjAyTj2BSth1EQ89vNfo0JYVPFN.jpg,https://image.tmdb.org/t/p/original/upTn8UYt1n92opIEIyzh8HljB0F.jpg,https://www.youtube.com/embed/W6Mm8Sbe__o?rel=0&autoplay=1,"A young F.B.I. cadet must confide in an incarcerated and manipulative killer to receive his help on catching another serial killer who skins his victims.","Hannibal, 9740, https://image.tmdb.org/t/p/w500/v5wAZwRqpGWmyAaaJ8BBHYuNXnj.jpg","Red Dragon, 9533, https://image.tmdb.org/t/p/w500/sULs7GLEM2tqNBwE5ac5d6FRlBR.jpg","The Sixth Sense, 745, https://image.tmdb.org/t/p/w500/imps263dHNe3SuoaAJORZyNTdDT.jpg","2017-05-15 11:10:06"
348,34532,Alien,1979,"Horror, Sci-Fi",R,"Ridley Scott","Tom Skerritt, Sigourney Weaver, Veronica Cartwright, Harry Dean Stanton",https://image.tmdb.org/t/p/w500/2h00HrZs89SL3tXB4nbkiM7BKHs.jpg,https://image.tmdb.org/t/p/original/si4PH5RjbpdQZi3BQvV6eiBNjYD.jpg,https://www.youtube.com/embed/097uj1HjkbM?rel=0&autoplay=1,"After a space merchant vessel perceives an unknown transmission as distress call, their landing on the source moon finds one of the crew attacked by a mysterious life-form, and soon realize that its life cycle has merely begun.","Aliens, 679, https://image.tmdb.org/t/p/w500/nORMXEkYEbzkU5WkMWMgRDJwjSZ.jpg","Alien³, 8077, https://image.tmdb.org/t/p/w500/p7mUd9GpmCYV5qhkKGmiEerFK3i.jpg","Alien: Resurrection, 8078, https://image.tmdb.org/t/p/w500/39WJ2YoLoWyDHxpTIwWT7AOKtZT.jpg","2017-05-15 11:12:33"
395,12034,"AVP: Alien vs. Predator",2004,"Action, Horror, Sci-Fi",PG-13,"Paul W.S. Anderson","Sanaa Lathan, Raoul Bova, Lance Henriksen, Ewen Bremner",https://image.tmdb.org/t/p/w500/9xzRKUBIqLwhhOYtcE7P1BbWXP9.jpg,https://image.tmdb.org/t/p/original/1vRCFWKPydH82T1wsPMYkRjcZXY.jpg,https://www.youtube.com/embed/gDMa68ptp2w?rel=0&autoplay=1,"During an archaeological expedition on Bouvetøya Island in Antarctica, a team of archaeologists and other scientists find themselves caught up in a battle between the two legends. Soon, the team realize that only one species can win.","Aliens vs Predator: Requiem, 440, https://image.tmdb.org/t/p/w500/bpA5nTpqb6qLWYwmyN61dViKrRt.jpg","Predator 2, 169, https://image.tmdb.org/t/p/w500/4cAQgbIPislEeBJahLO5BsqAUZN.jpg","Alien: Resurrection, 8078, https://image.tmdb.org/t/p/w500/39WJ2YoLoWyDHxpTIwWT7AOKtZT.jpg","2017-05-15 11:12:28"
429,24276,"The Good, the Bad and the Ugly",1966,Western,APPROVED,"Sergio Leone","Eli Wallach, Clint Eastwood, Lee Van Cleef, Aldo Giuffrè",https://image.tmdb.org/t/p/w500/wfPHdfofBD5PN96dV96a51B3Ja2.jpg,https://image.tmdb.org/t/p/original/xGC2fY5KFmtuXnsuQwYQKFOLZFy.jpg,https://www.youtube.com/embed/WCN5JJY_wiA?rel=0&autoplay=1,"A bounty hunting scam joins two men in an uneasy alliance against a third in a race to find a fortune in gold buried in a remote cemetery.","For a Few Dollars More, 938, https://image.tmdb.org/t/p/w500/o4y1dlqXFETChi1QW2TspfrCJ8e.jpg","A Fistful of Dollars, 391, https://image.tmdb.org/t/p/w500/sFLgxvtK9vxbNq502peVJ847Owp.jpg","Once Upon a Time in the West, 335, https://image.tmdb.org/t/p/w500/giwzmbbRZDva184wBOHDXlrmBa3.jpg","2017-05-15 11:10:06"
433,62075,"Mary Poppins",1964,"Comedy, Family, Fantasy",G,"Robert Stevenson","Julie Andrews, Dick Van Dyke, David Tomlinson, Glynis Johns",https://image.tmdb.org/t/p/w500/cjIIKTkeE8eKAmYULEZg6wKPZVe.jpg,https://image.tmdb.org/t/p/original/7DbgR36Sct5gcyEAzoM8bqiTYUV.jpg,https://www.youtube.com/embed/cXMvCTLIaqM?rel=0&autoplay=1,"In turn of the century London, a magical nanny employs music and adventure to help two neglected children become closer to their father.","The Sound of Music, 15121, https://image.tmdb.org/t/p/w500/459fPVvI4lkEV0piSfcq0irKHi8.jpg","Fantasia, 756, https://image.tmdb.org/t/p/w500/mSJgxrTaTgDSOoggIPcj3ZoZswT.jpg","Sleeping Beauty, 10882, https://image.tmdb.org/t/p/w500/iFJGafuB2f2IJWG2EmdtUpgfAn6.jpg","2017-05-15 11:10:06"
521,28388,"Dial M for Murder",1954,"Crime, Film-Noir, Thriller",PG,"Alfred Hitchcock","Ray Milland, Grace Kelly, Robert Cummings, John Williams",https://image.tmdb.org/t/p/w500/xrpK1PyckNWmRxU4kZURfaCyboS.jpg,https://image.tmdb.org/t/p/original/kmSrCmhF3mB15woqQ7z3Y4UGRwr.jpg,https://www.youtube.com/embed/urIXnyF0aJ0?rel=0&autoplay=1,"An ex-tennis pro carries out a plot to murder his wife. When things go wrong, he improvises a brilliant plan B.","Strangers on a Train, 845, https://image.tmdb.org/t/p/w500/akslUekHOWvE0UFBVb4GRkxRRoi.jpg","Rope, 1580, https://image.tmdb.org/t/p/w500/9UlEZpKqJPoaFu1OfHM3BohSRUo.jpg","Notorious, 303, https://image.tmdb.org/t/p/w500/pi5YexkEQ9BZIWovB5SyPmjCBjG.jpg","2017-05-15 11:10:06"
599,11250,"Sunset Boulevard",1950,"Drama, Film-Noir",PASSED,"Billy Wilder","William Holden, Gloria Swanson, Erich von Stroheim, Nancy Olson",https://image.tmdb.org/t/p/w500/oFwzvRgfxJc0FUr2mwYTi10dk3G.jpg,https://image.tmdb.org/t/p/original/49OTCCPYlARRe2JS1PAhPJmFkIW.jpg,https://www.youtube.com/embed/klM1GSJsblQ?rel=0&autoplay=1,"A screenwriter is hired to rework a faded silent film star's script only to find himself developing a dangerous relationship.","Witness for the Prosecution, 37257, https://image.tmdb.org/t/p/w500/heY0CCUqN4DY3X30thssZkvWZwx.jpg","The Apartment, 284, https://image.tmdb.org/t/p/w500/8nrQKQjD6z0SJouKHQapXzmjFc6.jpg","Double Indemnity, 996, https://image.tmdb.org/t/p/w500/q6Zs4YMbIBuEfCHCtufwPOkyIVz.jpg","2017-05-15 11:10:06"
621,20730,Grease,1978,"Musical, Romance",PG-13,"Randal Kleiser","John Travolta, Olivia Newton-John, Stockard Channing, Jeff Conaway",https://image.tmdb.org/t/p/w500/iMHdFTrCYhue74sBnXkdO39AJ3R.jpg,https://image.tmdb.org/t/p/original/dSukjx8A3kOitewpG2n7HuRt4rH.jpg,https://www.youtube.com/embed/wzWmxjYNfz4?rel=0&autoplay=1,"Good girl Sandy and greaser Danny fell in love over the summer. When they unexpectedly discover they're now in the same high school, will they be able to rekindle their romance?","Dirty Dancing, 88, https://image.tmdb.org/t/p/w500/zMHIZHxKv6kdE3JFQqZFqj7OswK.jpg","Pretty Woman, 114, https://image.tmdb.org/t/p/w500/fgmdaCMxXClZm2ePteLzCPySB1n.jpg","Saturday Night Fever, 11009, https://image.tmdb.org/t/p/w500/uC0GIPI54UiqrIQsnq6C0qXSIwp.jpg","2017-05-15 11:10:06"
679,31643,Aliens,1986,"Action, Adventure, Sci-Fi",R,"James Cameron","Sigourney Weaver, Carrie Henn, Michael Biehn, Paul Reiser",https://image.tmdb.org/t/p/w500/nORMXEkYEbzkU5WkMWMgRDJwjSZ.jpg,https://image.tmdb.org/t/p/original/r2zB2vGLDQVxlRZISH7KzQ6reiC.jpg,https://www.youtube.com/embed/LSHAgmGR-Ig?rel=0&autoplay=1,"The moon from Alien (1979) has been colonized, but contact is lost. This time, the rescue team has impressive firepower, but will it be enough?","Alien, 348, https://image.tmdb.org/t/p/w500/2h00HrZs89SL3tXB4nbkiM7BKHs.jpg","Alien³, 8077, https://image.tmdb.org/t/p/w500/p7mUd9GpmCYV5qhkKGmiEerFK3i.jpg","Alien: Resurrection, 8078, https://image.tmdb.org/t/p/w500/39WJ2YoLoWyDHxpTIwWT7AOKtZT.jpg","2017-05-15 11:12:35"
824,76975,"Moulin Rouge!",2001,"Drama, Musical, Romance",PG-13,"Baz Luhrmann","Nicole Kidman, Ewan McGregor, John Leguizamo, Jim Broadbent",https://image.tmdb.org/t/p/w500/xhuQz2yKPlWvMvvnf2u9RVkAQx6.jpg,https://image.tmdb.org/t/p/original/qj3TAGH89t8nkdTH7N6Ge1HTvGj.jpg,https://www.youtube.com/embed/dtEgAx80NC4?rel=0&autoplay=1,"A poet falls for a beautiful courtesan whom a jealous duke covets.","Chicago, 1574, https://image.tmdb.org/t/p/w500/18pCc2XZ5MO7wsywOYEbhoeuxNw.jpg","Shakespeare in Love, 1934, https://image.tmdb.org/t/p/w500/sAN5jedynbs3pa3ww0UXQ1k0lRF.jpg","Australia, 6972, https://image.tmdb.org/t/p/w500/lgnwsUpqmEz40guXX92ACETptpB.jpg","2017-05-15 11:10:06"
920,71875,Cars,2006,"Animation, Adventure, Comedy",G,"John Lasseter, Joe Ranft","Owen Wilson, Paul Newman, Bonnie Hunt, Larry the Cable Guy",https://image.tmdb.org/t/p/w500/5damnMcRFKSjhCirgX3CMa88MBj.jpg,https://image.tmdb.org/t/p/original/a1MlbLBk5Sy6YvMbSuKfwGlDVlb.jpg,https://www.youtube.com/embed/SbXIj2T-_uk?rel=0&autoplay=1,"A hot-shot race-car named Lightning McQueen gets waylaid in Radiator Springs, where he finds the true meaning of friendship and family.","Cars 2, 49013, https://image.tmdb.org/t/p/w500/AblhtULOVtrkSnFxRPQ8gBemxw9.jpg","Madagascar, 953, https://image.tmdb.org/t/p/w500/2YiESGB68BGQSAFvfJxBi774sc4.jpg","Monsters, Inc., 585, https://image.tmdb.org/t/p/w500/93Y9BGx8blzmZOPSoivkFfaifqU.jpg","2017-05-15 11:10:06"
963,73753,"The Maltese Falcon",1941,"Crime, Film-Noir, Mystery",APPROVED,"John Huston","Humphrey Bogart, Mary Astor, Gladys George, Peter Lorre",https://image.tmdb.org/t/p/w500/95OOYSeegOX4XW8nAeFJSIdxfM4.jpg,https://image.tmdb.org/t/p/original/hQGUl6rlAfUFifCLb9bukpJH42P.jpg,https://www.youtube.com/embed/ognCw56CjFw?rel=0&autoplay=1,"A private detective takes on a case that involves him with three eccentric criminals, a gorgeous liar, and their quest for a priceless statuette.","The Treasure of the Sierra Madre, 3090, https://image.tmdb.org/t/p/w500/e3lYTRwiDVPQv07xKldwlLAXikN.jpg","The Big Sleep, 910, https://image.tmdb.org/t/p/w500/ttUJSTKBdu1dR8d24FaoS4S1GFJ.jpg","Double Indemnity, 996, https://image.tmdb.org/t/p/w500/q6Zs4YMbIBuEfCHCtufwPOkyIVz.jpg","2017-05-15 11:10:06"
1092,66981,"The Third Man",1949,"Film-Noir, Mystery, Thriller",APPROVED,"Carol Reed","Joseph Cotten, Alida Valli, Orson Welles, Trevor Howard",https://image.tmdb.org/t/p/w500/xsVmiQG7s2T0UIctSpDvpNv9CX5.jpg,https://image.tmdb.org/t/p/original/lrIuSWdC1LfKJZUnBX6axJxzZGe.jpg,https://www.youtube.com/embed/F-QWLAndD1E?rel=0&autoplay=1,"Pulp novelist Holly Martins travels to shadowy, postwar Vienna, only to find himself investigating the mysterious death of an old friend, Harry Lime.","The Treasure of the Sierra Madre, 3090, https://image.tmdb.org/t/p/w500/e3lYTRwiDVPQv07xKldwlLAXikN.jpg","The Maltese Falcon, 963, https://image.tmdb.org/t/p/w500/95OOYSeegOX4XW8nAeFJSIdxfM4.jpg","Touch of Evil, 1480, https://image.tmdb.org/t/p/w500/4fkBpBB461nZhee5vb8uVsiBAQM.jpg","2017-05-15 11:10:06"
1726,67925,"Iron Man",2008,"Action, Adventure, Sci-Fi",PG-13,"Jon Favreau","Robert Downey Jr., Terrence Howard, Jeff Bridges, Gwyneth Paltrow",https://image.tmdb.org/t/p/w500/s2IG9qXfhJYxIttKyroYFBsHwzQ.jpg,https://image.tmdb.org/t/p/original/ZQixhAZx6fH1VNafFXsqa1B8QI.jpg,https://www.youtube.com/embed/KAE5ymVLmZg?rel=0&autoplay=1,"After being held captive in an Afghan cave, billionaire engineer Tony Stark creates a unique weaponized suit of armor to fight evil.","Iron Man 2, 10138, https://image.tmdb.org/t/p/w500/ArqpkNYGfcTIA6umWt6xihfIZZv.jpg","Captain America: The First Avenger, 1771, https://image.tmdb.org/t/p/w500/vSNxAJTlD0r02V9sPYpOjqDZXUK.jpg","Thor, 10195, https://image.tmdb.org/t/p/w500/bIuOWTtyFPjsFDevqvF3QrD1aun.jpg","2017-05-15 11:10:06"
2080,43659,"X-Men Origins: Wolverine",2009,"Action, Adventure, Sci-Fi",PG-13,"Gavin Hood","Hugh Jackman, Liev Schreiber, Danny Huston, Will.i.am",https://image.tmdb.org/t/p/w500/kqO36IYvWbRKMPiUeiVZUFH06Rc.jpg,https://image.tmdb.org/t/p/original/mEuDxpLNBCarVgXRqDznHT7bdS8.jpg,https://www.youtube.com/embed/Diqtd1gTUEc?rel=0&autoplay=1,"A look at Wolverine's early life, in particular his time with the government squad Team X and the impact it will have on his later years.","X-Men: The Last Stand, 36668, https://image.tmdb.org/t/p/w500/oEtjB6MjCW76eBzPnh5DDg6bVQz.jpg","X-Men, 36657, https://image.tmdb.org/t/p/w500/k01Q6ATbfzNJgw4Zuoj0LTY3T9x.jpg","X2, 36658, https://image.tmdb.org/t/p/w500/8TAPuoephNAiRGgBobP4xQl0QGK.jpg","2017-05-15 11:13:21"
2670,9481,It,1990,"Drama, Fantasy, Horror",TV-14,N/A,"Harry Anderson, Dennis Christopher, Richard Masur, Annette O'Toole",https://image.tmdb.org/t/p/w500/paW0Tc8qNsddCuMJ9M1WnNgOvy1.jpg,https://image.tmdb.org/t/p/original/aSBudWGGhrRrkWAbG3U3mHOs8kg.jpg,https://www.youtube.com/embed/iMspVKv56vQ?rel=0&autoplay=1,"In 1960, seven pre-teen outcasts fight an evil demon who poses as a child-killing clown. Thirty years later, they reunite to stop the demon once and for all when it returns to their hometown.","Pet Sematary, 8913, https://image.tmdb.org/t/p/w500/9zUax4pjRgoPIJla9CQejqNJofB.jpg","Christine, 8769, https://image.tmdb.org/t/p/w500/eIFakrk7xLwiNNoiottTBN5EIwy.jpg","Candyman, 9529, https://image.tmdb.org/t/p/w500/w5YQqrwzreHfa7RmXCB7rpLLxbe.jpg","2017-05-15 11:10:06"
3034,63526,"Young Frankenstein",1974,Comedy,PG,"Mel Brooks","Gene Wilder, Peter Boyle, Marty Feldman, Madeline Kahn",https://image.tmdb.org/t/p/w500/a3Bj2ht6liBFafNM46hqk9WEhcY.jpg,https://image.tmdb.org/t/p/original/xniibygKalBzJg2yCugPwZCJe31.jpg,https://www.youtube.com/embed/7csc1O21jDU?rel=0&autoplay=1,"An American grandson of the infamous scientist, struggling to prove that he is not as insane as people believe, is invited to Transylvania, where he discovers the process that reanimates a dead body.","Blazing Saddles, 11072, https://image.tmdb.org/t/p/w500/yccgwPNVaqtgS1d0U5jjM6Mnza8.jpg","The Producers, 30197, https://image.tmdb.org/t/p/w500/iqKheDdYS3XFvd6cpr6QR9rxdlk.jpg","Spaceballs, 957, https://image.tmdb.org/t/p/w500/xWt9KAcToCRdJ6JH8JyZZlhkVgG.jpg","2017-05-15 11:10:06"
3309,45834,"Mildred Pierce",1945,"Crime, Drama, Film-Noir","NOT RATED","Michael Curtiz","Joan Crawford, Jack Carson, Zachary Scott, Eve Arden",https://image.tmdb.org/t/p/w500/WP1oQxIyGAIVfavlXcxkucCZAO.jpg,https://image.tmdb.org/t/p/original/5npM2IwrVtYEpd3xVnFVNx0kxN.jpg,https://www.youtube.com/embed/1EcURotUrcg?rel=0&autoplay=1,"A hard-working mother inches towards disaster as she divorces her husband and starts a successful restaurant business to support her spoiled daughter.","I Am a Fugitive from a Chain Gang, 29740, https://image.tmdb.org/t/p/w500/4MXCDU9C1g1Z1CgYuLRzlG1QJTS.jpg","Pickup on South Street, 25955, https://image.tmdb.org/t/p/w500/hUP1WoSQvJXfymSS15IFjJbHLKi.jpg","Sweet Smell of Success, 976, https://image.tmdb.org/t/p/w500/dZBi7DSd3zjraZY1mxYeI5JohOr.jpg","2017-05-15 11:10:06"
4133,34901,Blow,2001,"Biography, Crime, Drama",R,"Ted Demme","Johnny Depp, Penélope Cruz, Franka Potente, Rachel Griffiths",https://image.tmdb.org/t/p/w500/yCLLbZzAa7jreGus7pvjZmL0bj7.jpg,https://image.tmdb.org/t/p/original/lVlzUCVxMZCMnZxwauBK92jBS2b.jpg,https://www.youtube.com/embed/q8lGHQn_n9Y?rel=0&autoplay=1,"The story of George Jung, the man who established the American cocaine market in the 1970s.","Donnie Brasco, 9366, https://image.tmdb.org/t/p/w500/niqDLxwZ6GF0GLKUlkdKnOWfsvb.jpg","Fear and Loathing in Las Vegas, 1878, https://image.tmdb.org/t/p/w500/u9ffgobMADj6GCafeImbov566j9.jpg","Casino, 524, https://image.tmdb.org/t/p/w500/xo517ibXBDdYQY81j0WIG7BVcWq.jpg","2017-05-15 11:10:06"
4479,28152,"Les Miserables",1978,"Drama, History",N/A,"Glenn Jordan","Richard Jordan, Anthony Perkins, Cyril Cusack, Claude Dauphin",https://image.tmdb.org/t/p/w500/pKjYhzIOjZ2knZqibjkoc5rvEcm.jpg,https://image.tmdb.org/t/p/originalnull,"Sorry, No trailer is currently available","Jean Valjean, convicted of stealing bread, is hounded for decades by the relentless and cruel policeman Javert.","George Wallace, 61445, https://image.tmdb.org/t/p/w500/edhs7A0EYrEEzvT1rajWtNC5bH0.jpg","Frankenstein: The True Story, 3105, https://image.tmdb.org/t/p/w500/xaFr9TowExdfReYA0aV5bTQTscH.jpg","The Man in the Iron Mask, 4199, https://image.tmdb.org/t/p/w500/30JmeTsNT1CCsGGEyveTdDW1tCT.jpg","2017-05-15 11:10:06"
6522,20781,Life,1999,"Comedy, Crime, Drama",R,"Ted Demme","Eddie Murphy, Martin Lawrence, Obba Babatundé, Nick Cassavetes",https://image.tmdb.org/t/p/w500/c9phL8FXuL7i15CrjQH5PfM60NB.jpg,https://image.tmdb.org/t/p/original/qDvtbrCrK29qcBACXNFtuHO2aJM.jpg,https://www.youtube.com/embed/_0LkiWPmnns?rel=0&autoplay=1,"The story of wrongfully convicted men (Eddie Murphy and Martin Lawrence) who discover the value of life after serving 65 years in prison.","Bulletproof, 10723, https://image.tmdb.org/t/p/w500/fUIX9vUzaku5KFLV1fNlDEExr3k.jpg","Down to Earth, 16300, https://image.tmdb.org/t/p/w500/zp6hH5R0sFMpGDkTdmpSQozkBVA.jpg","Metro, 8860, https://image.tmdb.org/t/p/w500/5fLP5go9bMQImOZUo72YLcHspau.jpg","2017-05-15 11:10:06"
7445,39485,Brothers,2009,"Drama, Thriller, War",R,"Jim Sheridan","Tobey Maguire, Jake Gyllenhaal, Natalie Portman, Sam Shepard",https://image.tmdb.org/t/p/w500/rfLmpW2tzI40g91GiU0WSiMIxox.jpg,https://image.tmdb.org/t/p/original/5wWe5mAZ8vK6dv8YLtHuqmgTO1u.jpg,https://www.youtube.com/embed/kJtEUfSAfOk?rel=0&autoplay=1,"A young man comforts his older brother's wife and children after he goes missing in Afghanistan.","Jarhead, 25, https://image.tmdb.org/t/p/w500/iEYnXqUsfTaKwO1svSa39Ap07of.jpg","Revolutionary Road, 4148, https://image.tmdb.org/t/p/w500/bnOK1lmdlqdy2HX6IgKx9TQD7Ax.jpg","The Good Girl, 9962, https://image.tmdb.org/t/p/w500/gXUh1LQ8g2rOKNzmOCe3tjfnsZR.jpg","2017-05-15 11:10:06"
8078,21177,"Alien: Resurrection",1997,"Action, Horror, Sci-Fi",R,"Jean-Pierre Jeunet","Sigourney Weaver, Winona Ryder, Dominique Pinon, Ron Perlman",https://image.tmdb.org/t/p/w500/39WJ2YoLoWyDHxpTIwWT7AOKtZT.jpg,https://image.tmdb.org/t/p/original/AdkIZ7FtqD1bO8IKxSe6IYTK38c.jpg,https://www.youtube.com/embed/-qJjiq72WOo?rel=0&autoplay=1,"Two centuries after her death, Ellen Ripley is revived as a powerful human/alien hybrid clone who must continue her war against the aliens.","Alien³, 8077, https://image.tmdb.org/t/p/w500/p7mUd9GpmCYV5qhkKGmiEerFK3i.jpg","AVP: Alien vs. Predator, 395, https://image.tmdb.org/t/p/w500/9xzRKUBIqLwhhOYtcE7P1BbWXP9.jpg","Aliens, 679, https://image.tmdb.org/t/p/w500/nORMXEkYEbzkU5WkMWMgRDJwjSZ.jpg","2017-05-15 11:12:30"
8587,51100,"The Lion King",1994,"Animation, Adventure, Drama",G,"Roger Allers, Rob Minkoff","Rowan Atkinson, Matthew Broderick, Niketa Calame, Jim Cummings",https://image.tmdb.org/t/p/w500/bKPtXn9n4M4s8vvZrbw40mYsefB.jpg,https://image.tmdb.org/t/p/original/6lL49SOgBtqiXMs7Y5HWBYH3X9Z.jpg,https://www.youtube.com/embed/4sj1MT05lAA?rel=0&autoplay=1,"Lion cub and future king Simba searches for his identity. His eagerness to please others and penchant for testing his boundaries sometimes gets him into trouble.","Aladdin, 812, https://image.tmdb.org/t/p/w500/qsHpmqekgeQKMKL8PWnFsrXTXGs.jpg","Finding Nemo, 12, https://image.tmdb.org/t/p/w500/zjqInUwldOBa0q07fOyohYCWxWX.jpg","Toy Story, 862, https://image.tmdb.org/t/p/w500/rhIRbceoE9lR4veEXuwCC2wARtG.jpg","2017-05-15 11:10:06"
9080,50901,"Spies Like Us",1985,"Adventure, Comedy",PG,"John Landis","Chevy Chase, Dan Aykroyd, Steve Forrest, Donna Dixon",https://image.tmdb.org/t/p/w500/2SHiQBkqRdwt8CH1N24dpBD9RfX.jpg,https://image.tmdb.org/t/p/original/4yIBci2iAtyXgl9nwhbvRTB7Ofz.jpg,https://www.youtube.com/embed/OlfeVnKpmH4?rel=0&autoplay=1,"Two bumbling government employees think they are U.S. spies, only to discover that they are actually decoys for Nuclear War.","Fletch, 9749, https://image.tmdb.org/t/p/w500/t8VjThRC6uKvjR5jVlhj5bBBUUy.jpg","Stripes, 10890, https://image.tmdb.org/t/p/w500/3qYaYMHdzDfNN8nJ6SKnMbP5rDN.jpg","National Lampoon’s European Vacation, 11418, https://image.tmdb.org/t/p/w500/QbyzCI54hvCIwt1SQEsq7a6rp8.jpg","2017-05-15 11:13:38"
9323,78602,"Ghost in the Shell",1995,"Animation, Action, Crime","NOT RATED","Mamoru Oshii","Atsuko Tanaka, Akio Ôtsuka, Kôichi Yamadera, Yutaka Nakano",https://image.tmdb.org/t/p/w500/hnkvMdSlavMNGadokPD5tImTgrs.jpg,https://image.tmdb.org/t/p/original/jaiaRiiaunJ8faob9vZ8XBTx9ou.jpg,https://www.youtube.com/embed/wNtgA5Xfd2s?rel=0&autoplay=1,"A cyborg policewoman and her partner hunt a mysterious and powerful hacker called the Puppet Master.","Ghost in the Shell 2: Innocence, 12140, https://image.tmdb.org/t/p/w500/1KSMfpMWMzlvR2DN2fzv31vZ66B.jpg","Akira, 149, https://image.tmdb.org/t/p/w500/8Pt7hlu7fkc5IIR0VZ2kNGY8sT4.jpg","Paprika, 4977, https://image.tmdb.org/t/p/w500/y3ySbGb56lbNCnVtTWWsEdHyMNt.jpg","2017-05-15 11:10:06"
9749,31007,Fletch,1985,"Comedy, Crime, Mystery",PG,"Michael Ritchie","Chevy Chase, Joe Don Baker, Dana Wheeler-Nicholson, Richard Libertini",https://image.tmdb.org/t/p/w500/t8VjThRC6uKvjR5jVlhj5bBBUUy.jpg,https://image.tmdb.org/t/p/original/9XslOpki9QEFDfOHLzaQLJqx8Xl.jpg,https://www.youtube.com/embed/4sMMt2M3RiU?rel=0&autoplay=1,"Irwin M. "Fletch" Fletcher is a newspaper reporter being offered a large sum to off a cancerous millionaire, but is on the run, risking his job, and finding clues when it's clear the man is healthy.","Fletch Lives, 14628, https://image.tmdb.org/t/p/w500/7sufFmTJWokxhXYCaAs8SRxT6r0.jpg","Spies Like Us, 9080, https://image.tmdb.org/t/p/w500/2SHiQBkqRdwt8CH1N24dpBD9RfX.jpg","Stripes, 10890, https://image.tmdb.org/t/p/w500/3qYaYMHdzDfNN8nJ6SKnMbP5rDN.jpg","2017-05-15 11:13:35"
