"tmdbId","guideBoxId","title","year","genre","director","actors","poster","trailer","rec1","rec2","rec3","created_at"
82695,28152,"Les Miserables",1978,"Drama, History","Glenn Jordan","Richard Jordan, Anthony Perkins, Cyril Cusack, Claude Dauphin","http://image.tmdb.org/t/p/w185/qEsrAHoxj746FRb7OLGYjrx1AI3.jpg","https://www.youtube.com/watch?v=xk5UStefYmE","Lincoln, 72976, http://image.tmdb.org/t/p/w500/gkkiDu9srCCbCMxGKwNwKCxK7KF.jpg","Chicago, 1574, http://image.tmdb.org/t/p/w500/18pCc2XZ5MO7wsywOYEbhoeuxNw.jpg","Moulin Rouge!, 824, http://image.tmdb.org/t/p/w500/xhuQz2yKPlWvMvvnf2u9RVkAQx6.jpg","2017-05-08 18:37:46"
395992,20781,"Life",1999,"Comedy, Crime, Drama","Ted Demme","Eddie Murphy, Martin Lawrence, Obba Babatundé, Nick Cassavetes","http://image.tmdb.org/t/p/w185/h2mhfbEBGABSHo2vXG1ECMKAJa7.jpg","https://www.youtube.com/watch?v=Heiy3mP9IIM","Ghost in the Shell, 315837, http://image.tmdb.org/t/p/w500/myRzRzCxdfUWjkJWgpHHZ1oGkJd.jpg","A Cure for Wellness, 340837, http://image.tmdb.org/t/p/w500/byeTgTgG7M1RN2c7njWWIkSkNig.jpg","Guardians of the Galaxy Vol. 2, 283995, http://image.tmdb.org/t/p/w500/gaHepzSTMkGwsSKAqiBgroSCf07.jpg","2017-05-08 18:41:14"
263115,147509,"Logan",2017,"Action, Drama, Sci-Fi","James Mangold","Hugh Jackman, Patrick Stewart, Dafne Keen, Boyd Holbrook","http://image.tmdb.org/t/p/w185/45Y1G5FEgttPAwjTYic6czC9xCn.jpg","https://www.youtube.com/watch?v=XaE_9pfybL4","Guardians of the Galaxy Vol. 2, 283995, http://image.tmdb.org/t/p/w500/gaHepzSTMkGwsSKAqiBgroSCf07.jpg","Kong: Skull Island, 293167, http://image.tmdb.org/t/p/w500/r2517Vz9EhDhj88qwbDVj8DCRZN.jpg","Doctor Strange, 284052, http://image.tmdb.org/t/p/w500/4PiiNGXj1KENTmCBHeN6Mskj2Fq.jpg","2017-05-08 18:27:40"
433,62075,"Mary Poppins",1964,"Comedy, Family, Fantasy","Robert Stevenson","Julie Andrews, Dick Van Dyke, David Tomlinson, Glynis Johns","http://image.tmdb.org/t/p/w185/cjIIKTkeE8eKAmYULEZg6wKPZVe.jpg","https://www.youtube.com/watch?v=cXMvCTLIaqM","The Sound of Music, 15121, http://image.tmdb.org/t/p/w500/459fPVvI4lkEV0piSfcq0irKHi8.jpg","Fantasia, 756, http://image.tmdb.org/t/p/w500/mSJgxrTaTgDSOoggIPcj3ZoZswT.jpg","Bambi, 3170, http://image.tmdb.org/t/p/w500/laABfcpEKweQsaZwCWzmGNUpij9.jpg","2017-05-08 18:36:00"
3309,45834,"Mildred Pierce",1945,"Crime, Drama, Film-Noir","Michael Curtiz","Joan Crawford, Jack Carson, Zachary Scott, Eve Arden","http://image.tmdb.org/t/p/w185/WP1oQxIyGAIVfavlXcxkucCZAO.jpg","https://www.youtube.com/watch?v=qdRfuQ8Y8rU","I Am a Fugitive from a Chain Gang, 29740, http://image.tmdb.org/t/p/w500/4MXCDU9C1g1Z1CgYuLRzlG1QJTS.jpg","Pickup on South Street, 25955, http://image.tmdb.org/t/p/w500/hUP1WoSQvJXfymSS15IFjJbHLKi.jpg","Sweet Smell of Success, 976, http://image.tmdb.org/t/p/w500/dZBi7DSd3zjraZY1mxYeI5JohOr.jpg","2017-05-08 18:30:03"
277834,138745,"Moana",2016,"Animation, Adventure, Comedy","Ron Clements, Don Hall, John Musker, Chris Williams","Auli'i Cravalho, Dwayne Johnson, Rachel House, Temuera Morrison","http://image.tmdb.org/t/p/w185/z4x0Bp48ar3Mda8KiPD1vwSY3D8.jpg","https://www.youtube.com/watch?v=LKFuXETZUsI","Sing, 335797, http://image.tmdb.org/t/p/w500/eSVtBB2PVFbQiFWC7CQi3EjIZnn.jpg","Kubo and the Two Strings, 313297, http://image.tmdb.org/t/p/w500/3Kr9CIIMcXTPlm6cdZ9y3QTe4Y7.jpg","Finding Dory, 127380, http://image.tmdb.org/t/p/w500/z09QAf8WbZncbitewNk6lKYMZsh.jpg","2017-05-08 18:06:07"
10674,20474,"Mulan",1998,"Animation, Adventure, Family","Tony Bancroft, Barry Cook","Miguel Ferrer, Harvey Fierstein, Freda Foh Shen, June Foray","http://image.tmdb.org/t/p/w185/vXjfMyXHixdEEkqcuWS6hy3EZAG.jpg","https://www.youtube.com/watch?v=wAbGAkkOgcM","Pocahontas, 10530, http://image.tmdb.org/t/p/w500/qk95miOV8wDABbO5gyCpCrvbVFu.jpg","Tarzan, 37135, http://image.tmdb.org/t/p/w500/tWFubl9q3quYuYXBGypXXCNLE00.jpg","Hercules, 11970, http://image.tmdb.org/t/p/w500/yds93kIrmH1aNN0YKAcHLyOkNEV.jpg","2017-05-08 18:35:35"
565,30439,"Ring",1999,"Horror","Dong-bin Kim","Eun-Kyung Shin, Seung-hyeon Lee, Jin-yeong Jeong, Chang-wan Kim","http://image.tmdb.org/t/p/w185/zHJFdhqEXZJxG653oZvOM3PmNON.jpg","https://www.youtube.com/watch?v=ymPUAsPsTwg","The Ring Two, 10320, http://image.tmdb.org/t/p/w500/mYZdcd5XeZkye72oQejkLuAGI7q.jpg","The Grudge, 1970, http://image.tmdb.org/t/p/w500/y05X9RL0FIcEwoVSTppCPcQwhvf.jpg","Final Destination, 9532, http://image.tmdb.org/t/p/w500/nW6JfCIWqUpIESlras0nrVy4pCl.jpg","2017-05-08 18:34:38"
330459,139472,"Rogue One",2016,"Action, Adventure, Sci-Fi","Gareth Edwards","Felicity Jones, Diego Luna, Alan Tudyk, Donnie Yen","http://image.tmdb.org/t/p/w185/qjiskwlV1qQzRCjpV0cL9pEMF9a.jpg","https://www.youtube.com/watch?v=Wji-BZ0oCwg","Doctor Strange, 284052, http://image.tmdb.org/t/p/w500/4PiiNGXj1KENTmCBHeN6Mskj2Fq.jpg","Star Trek Beyond, 188927, http://image.tmdb.org/t/p/w500/mLrQMqyZgLeP8FrT5LCobKAiqmK.jpg","Star Wars: The Force Awakens, 140607, http://image.tmdb.org/t/p/w500/weUSwMdQIa3NaXVzwUoIIcAi85d.jpg","2017-05-08 18:35:04"
335797,143442,"Sing",2016,"Animation, Comedy, Family","Christophe Lourdelet, Garth Jennings","Matthew McConaughey, Reese Witherspoon, Seth MacFarlane, Scarlett Johansson","http://image.tmdb.org/t/p/w185/eSVtBB2PVFbQiFWC7CQi3EjIZnn.jpg","https://www.youtube.com/watch?v=Zvjmt4pwtdg","Moana, 277834, http://image.tmdb.org/t/p/w500/z4x0Bp48ar3Mda8KiPD1vwSY3D8.jpg","Trolls, 136799, http://image.tmdb.org/t/p/w500/zKu5MNy9QW1a5ZHgv7iAp3kRZpE.jpg","Storks, 332210, http://image.tmdb.org/t/p/w500/5qVD5TD1CiALR5vUsMzh2BschVU.jpg","2017-05-08 18:03:28"
129,13996,"Spirited Away",2001,"Animation, Adventure, Family","Hayao Miyazaki","Rumi Hiiragi, Miyu Irino, Mari Natsuki, Takashi Naitô","http://image.tmdb.org/t/p/w185/ynXoOxmDHNQ4UAy0oU6avW71HVW.jpg","https://www.youtube.com/watch?v=0lzccY1-PNs","Howl's Moving Castle, 4935, http://image.tmdb.org/t/p/w500/iMarB2ior30OAXjPa7QIdeyUfM1.jpg","Princess Mononoke, 128, http://image.tmdb.org/t/p/w500/gzlJkVfWV5VEG5xK25cvFGJgkDz.jpg","My Neighbor Totoro, 8392, http://image.tmdb.org/t/p/w500/2i0OOjvi7CqNQA6ZtYJtL65P9oZ.jpg","2017-05-08 18:29:15"
381288,150431,"Split",2016,"Horror, Thriller","M. Night Shyamalan","James McAvoy, Anya Taylor-Joy, Betty Buckley, Haley Lu Richardson","http://image.tmdb.org/t/p/w185/rXMWOZiCt6eMX22jWuTOSdQ98bY.jpg","https://www.youtube.com/watch?v=6bfooooTKyM","Passengers, 274870, http://image.tmdb.org/t/p/w500/5gJkVIVU7FDp7AfRAbPSvvdbre2.jpg","Nocturnal Animals, 340666, http://image.tmdb.org/t/p/w500/9Moizj8qxcZK6DqEE1MTO3pQAEw.jpg","Don't Breathe, 300669, http://image.tmdb.org/t/p/w500/lw0IqOSMsQcy1QnVIEIDppLmNwk.jpg","2017-05-08 18:33:58"
11,55413,"Star Wars: Episode IV - A New Hope",1977,"Action, Adventure, Fantasy","George Lucas","Mark Hamill, Harrison Ford, Carrie Fisher, Peter Cushing","http://image.tmdb.org/t/p/w185/tvSlBzAdRE29bZe5yYWrJ2ds137.jpg","https://www.youtube.com/watch?v=vZ734NWnAHA","The Empire Strikes Back, 1891, http://image.tmdb.org/t/p/w500/6u1fYtxG5eqjhtCPDx04pJphQRW.jpg","Return of the Jedi, 1892, http://image.tmdb.org/t/p/w500/jx5p0aHlbPXqe3AH9G15NvmWaqQ.jpg","Star Wars: Episode I - The Phantom Menace, 1893, http://image.tmdb.org/t/p/w500/n8V09dDc02KsSN6Q4hC2BX6hN8X.jpg","2017-05-08 18:29:31"
297761,137176,"Suicide Squad",2016,"Action, Adventure, Fantasy","David Ayer","Will Smith, Jaime FitzSimons, Ike Barinholtz, Margot Robbie","http://image.tmdb.org/t/p/w185/e1mjopzAS2KNsvpbpahQ1a6SkSn.jpg","https://www.youtube.com/watch?v=PLLQK9la6Go","X-Men: Apocalypse, 246655, http://image.tmdb.org/t/p/w500/zSouWWrySXshPCT4t3UKCQGayyo.jpg","Doctor Strange, 284052, http://image.tmdb.org/t/p/w500/4PiiNGXj1KENTmCBHeN6Mskj2Fq.jpg","Captain America: Civil War, 271110, http://image.tmdb.org/t/p/w500/kSBXou5Ac7vEqKd97wotJumyJvU.jpg","2017-05-08 18:35:14"
599,11250,"Sunset Boulevard",1950,"Drama, Film-Noir","Billy Wilder","William Holden, Gloria Swanson, Erich von Stroheim, Nancy Olson","http://image.tmdb.org/t/p/w185/oFwzvRgfxJc0FUr2mwYTi10dk3G.jpg","https://www.youtube.com/watch?v=klM1GSJsblQ","Double Indemnity, 996, http://image.tmdb.org/t/p/w500/q6Zs4YMbIBuEfCHCtufwPOkyIVz.jpg","Witness for the Prosecution, 37257, http://image.tmdb.org/t/p/w500/heY0CCUqN4DY3X30thssZkvWZwx.jpg","The Apartment, 284, http://image.tmdb.org/t/p/w500/8nrQKQjD6z0SJouKHQapXzmjFc6.jpg","2017-05-08 18:31:23"
525,67453,"The Blues Brothers",1980,"Action, Comedy, Crime","John Landis","John Belushi, Dan Aykroyd, James Brown, Cab Calloway","http://image.tmdb.org/t/p/w185/6hesUNBkpVRqBTBw2HlTg0h8b56.jpg","https://www.youtube.com/watch?v=2HCR4c1zPyk","Animal House, 8469, http://image.tmdb.org/t/p/w500/AuJkgAh7zAGsm7Oo3CGyDtYvzg0.jpg","Young Frankenstein, 3034, http://image.tmdb.org/t/p/w500/a3Bj2ht6liBFafNM46hqk9WEhcY.jpg","Blazing Saddles, 11072, http://image.tmdb.org/t/p/w500/yccgwPNVaqtgS1d0U5jjM6Mnza8.jpg","2017-05-08 18:36:17"
295693,150965,"The Boss Baby",2017,"Animation, Comedy, Family","Hendel Butoy, Tom McGrath","Alec Baldwin, Steve Buscemi, Jimmy Kimmel, Lisa Kudrow","http://image.tmdb.org/t/p/w185/unPB1iyEeTBcKiLg8W083rlViFH.jpg","https://www.youtube.com/watch?v=Ud8j5GaqH3c","Sing, 335797, http://image.tmdb.org/t/p/w500/eSVtBB2PVFbQiFWC7CQi3EjIZnn.jpg","Smurfs: The Lost Village, 137116, http://image.tmdb.org/t/p/w500/swt9crREg1UcKgg3wGWfoFNlXOz.jpg","Beauty and the Beast, 321612, http://image.tmdb.org/t/p/w500/tWqifoYuwLETmmasnGHO7xBjEtt.jpg","2017-05-08 18:03:44"
